question,judge,agreement
Q12,SME8,0
Q12,LayUser0,0
Q12,LayUser1,0
Q12,LayUser2,0
Q12,LayUser3,0
Q12,LayUser4,0
Q12,LayUser5,1
Q12,LayUser6,0
Q12,LayUser7,1
Q12,LayUser8,1
Q12,LayUser9,0
Q13,SME0,0
Q13,SME1,0
Q13,SME2,1
Q13,SME3,1
Q13,SME4,0
Q13,SME5,0
Q13,SME6,1
Q13,SME7,0
Q13,SME8,0
Q13,LayUser0,0
Q13,LayUser1,0
Q13,LayUser2,0
Q13,LayUser3,1
Q13,LayUser4,0
Q13,LayUser5,0
Q13,LayUser6,0
Q13,LayUser7,1
Q13,LayUser8,1
Q13,LayUser9,0
Q14,SME0,0
Q14,SME1,1
Q14,SME2,0
Q14,SME3,1
Q14,SME4,1
Q14,SME5,0
Q14,SME6,0
Q14,SME7,0
Q14,SME8,0
Q14,LayUser0,1
Q14,LayUser1,0
Q14,LayUser2,0
Q14,LayUser3,0
Q14,LayUser4,1
Q14,LayUser5,0
Q14,LayUser6,1
Q14,LayUser7,0
Q14,LayUser8,1
Q14,LayUser9,1
Q15,SME0,1
Q15,SME1,1
Q15,SME2,1
Q15,SME3,0
Q15,SME4,1
Q15,SME5,1
Q15,SME6,0
Q15,SME7,1
Q15,SME8,0
Q15,LayUser0,1
Q15,LayUser1,1
Q15,LayUser2,0
Q15,LayUser3,1
Q15,LayUser4,1
Q15,LayUser5,1
Q15,LayUser6,1
Q15,LayUser7,1
Q15,LayUser8,0
Q15,LayUser9,1
Q16,SME0,1
Q16,SME1,1
Q16,SME2,1
Q16,SME3,1
Q16,SME4,1
Q16,SME5,1
Q16,SME6,1
Q16,SME7,0
Q16,SME8,1
Q16,LayUser0,0
Q16,LayUser1,1
Q16,LayUser2,1
Q16,LayUser3,0
Q16,LayUser4,0
Q16,LayUser5,1
Q16,LayUser6,1
Q16,LayUser7,1
Q16,LayUser8,1
Q16,LayUser9,1
Q17,SME0,1
Q17,SME1,1
Q17,SME2,1
Q17,SME3,1
Q17,SME4,0
Q17,SME5,1
Q17,SME6,1
Q17,SME7,1
Q17,SME8,1
Q17,LayUser0,0
Q17,LayUser1,1
Q17,LayUser2,1
Q17,LayUser3,1
Q17,LayUser4,1
Q17,LayUser5,1
Q17,LayUser6,1
Q17,LayUser7,1
Q17,LayUser8,1
Q17,LayUser9,1
Q18,SME0,1
Q18,SME1,1
Q18,SME2,0
Q18,SME3,0
Q18,SME4,0
Q18,SME5,0
Q18,SME6,0
Q18,SME7,0
Q18,SME8,1
Q18,LayUser0,1
Q18,LayUser1,0
Q18,LayUser2,0
Q18,LayUser3,1
Q18,LayUser4,1
Q18,LayUser5,0
Q18,LayUser6,0
Q18,LayUser7,1
Q18,LayUser8,0
Q18,LayUser9,1
Q19,SME0,1
Q19,SME1,1
Q19,SME2,1
Q19,SME3,0
Q19,SME4,1
Q19,SME5,1
Q19,SME6,1
Q19,SME7,0
Q19,SME8,0
Q19,LayUser0,1
Q19,LayUser1,1
Q19,LayUser2,1
Q19,LayUser3,1
Q19,LayUser4,0
Q19,LayUser5,1
Q19,LayUser6,1
Q19,LayUser7,0
Q19,LayUser8,0
Q19,LayUser9,1
Q20,SME0,1
Q20,SME1,1
Q20,SME2,0
Q20,SME3,0
Q20,SME4,1
Q20,SME5,1
Q20,SME6,1
Q20,SME7,1
Q20,SME8,1
Q20,LayUser0,1
Q20,LayUser1,1
Q20,LayUser2,0
Q20,LayUser3,1
Q20,LayUser4,1
Q20,LayUser5,0
Q20,LayUser6,1
Q20,LayUser7,1
Q20,LayUser8,0
Q20,LayUser9,1
Q21,SME0,0
Q21,SME1,1
Q21,SME2,0
Q21,SME3,0
Q21,SME4,1
Q21,SME5,1
Q21,SME6,0
Q21,SME7,0
Q21,SME8,1
Q21,LayUser0,1
Q21,LayUser1,1
Q21,LayUser2,1
Q21,LayUser3,1
Q21,LayUser4,1
Q21,LayUser5,1
Q21,LayUser6,1
Q21,LayUser7,0
Q21,LayUser8,0
Q21,LayUser9,1
Q22,SME0,1
Q22,SME1,1
Q22,SME2,1
Q22,SME3,1
Q22,SME4,0
Q22,SME5,0
Q22,SME6,0
Q22,SME7,1
Q22,SME8,1
Q22,LayUser0,0
Q22,LayUser1,1
Q22,LayUser2,1
Q22,LayUser3,1
Q22,LayUser4,1
Q22,LayUser5,1
Q22,LayUser6,1
Q22,LayUser7,1
Q22,LayUser8,1
Q22,LayUser9,1
Q23,SME0,0
Q23,SME1,0
Q23,SME2,0
Q23,SME3,0
Q23,SME4,0
Q23,SME5,0
Q23,SME6,0
Q23,SME7,0
Q23,SME8,1
Q23,LayUser0,1
Q23,LayUser1,1
Q23,LayUser2,1
Q23,LayUser3,1
Q23,LayUser4,1
Q23,LayUser5,0
Q23,LayUser6,1
Q23,LayUser7,0
Q23,LayUser8,0
Q23,LayUser9,1
Q24,SME0,1
Q24,SME1,1
Q24,SME2,1
Q24,SME3,1
Q24,SME4,0
Q24,SME5,1
Q24,SME6,1
Q24,SME7,0
Q24,SME8,1
Q24,LayUser0,1
Q24,LayUser1,1
Q24,LayUser2,1
Q24,LayUser3,1
Q24,LayUser4,1
Q24,LayUser5,0
Q24,LayUser6,1
Q24,LayUser7,0
Q24,LayUser8,1
Q24,LayUser9,1
Q25,SME0,1
Q25,SME1,1
Q25,SME2,1
Q25,SME3,1
Q25,SME4,1
Q25,SME5,1
Q25,SME6,0
Q25,SME7,1
Q25,SME8,1
Q25,LayUser0,1
Q25,LayUser1,1
Q25,LayUser2,1
Q25,LayUser3,0
Q25,LayUser4,0
Q25,LayUser5,0
Q25,LayUser6,1
Q25,LayUser7,1
Q25,LayUser8,1
Q25,LayUser9,1
